facility_name,state,zip_code,smr_date,mortality_rate,facility_name_lower
CHILDRENS HOSPITAL DIALYSIS,AL,35233,01Jan2021-31Dec2024,6.5,childrens hospital dialysis
FMC CAPITOL CITY,AL,36104,01Jan2021-31Dec2024,22.5,fmc capitol city
DaVita Gadsden Dialysis,AL,35901,01Jan2021-31Dec2024,26.6,davita gadsden dialysis
DaVita Tuscaloosa University Dialysis,AL,35401,01Jan2021-31Dec2024,25.9,davita tuscaloosa university dialysis
DaVita PDI-Montgomery,AL,36106,01Jan2021-31Dec2024,26.8,davita pdi-montgomery
DaVita Dothan Dialysis,AL,36305,01Jan2021-31Dec2024,25.4,davita dothan dialysis
FMC MOBILE,AL,36607,01Jan2021-31Dec2024,23.8,fmc mobile
DaVita Birmingham East Dialysis,AL,35235,01Jan2021-31Dec2024,25.2,davita birmingham east dialysis
FMC SELMA,AL,36701,01Jan2021-31Dec2024,25.7,fmc selma
BMA LANGDALE,AL,36854,01Jan2021-31Dec2024,17.6,bma langdale
FMC OPELIKA,AL,36801,01Jan2021-31Dec2024,17.0,fmc opelika
FRESENIUS KIDNEY CARE SOUTH AVENUE,AL,35222,01Jan2021-31Dec2024,19.4,fresenius kidney care south avenue
DaVita Athens Dialysis,AL,35613,01Jan2021-31Dec2024,30.1,davita athens dialysis
FMC SCOTTSBORO,AL,35768,01Jan2021-31Dec2024,26.1,fmc scottsboro
FKC TROY,AL,36081,01Jan2021-31Dec2024,25.5,fkc troy
DCI DOTHAN,AL,36303,01Jan2021-31Dec2024,24.1,dci dothan
FMC HUNTSVILLE,AL,35801,01Jan2021-31Dec2024,21.2,fmc huntsville
DaVita Phenix City Dialysis Center,AL,36867,01Jan2021-31Dec2024,28.0,davita phenix city dialysis center
FMC EAST MOBILE,AL,36604,01Jan2021-31Dec2024,27.6,fmc east mobile
FMC WEST MOBILE,AL,36695,01Jan2021-31Dec2024,28.1,fmc west mobile
RCG PRINCETON,AL,35211,01Jan2021-31Dec2024,16.9,rcg princeton
DCI ENTERPRISE,AL,36330,01Jan2021-31Dec2024,13.6,dci enterprise
FMC CAHABA VALLEY,AL,35124,01Jan2021-31Dec2024,27.5,fmc cahaba valley
DaVita Florence Dialysis,AL,35630,01Jan2021-31Dec2024,23.7,davita florence dialysis
FKC E 11 Street - Anniston,AL,36207,01Jan2021-31Dec2024,18.5,fkc e 11 street - anniston
FMC JACKSON (TOMBIGBEE),AL,36545,01Jan2021-31Dec2024,22.4,fmc jackson (tombigbee)
DCI EUFAULA,AL,36027,01Jan2021-31Dec2024,27.6,dci eufaula
DaVita Walker County Dialysis,AL,35504,01Jan2021-31Dec2024,26.8,davita walker county dialysis
BESSEMER KIDNEY CENTER,AL,35022,01Jan2021-31Dec2024,21.5,bessemer kidney center
DaVita PDI-Prattville,AL,36066,01Jan2021-31Dec2024,20.7,davita pdi-prattville
FMC MONTCLAIR,AL,35210,01Jan2021-31Dec2024,20.0,fmc montclair
FMC PRICHARD,AL,36612,01Jan2021-31Dec2024,18.2,fmc prichard
RCG ANDALUSIA,AL,36420,01Jan2021-31Dec2024,17.0,rcg andalusia
FMC MONROEVILLE (WHETSTONE),AL,36460,01Jan2021-31Dec2024,28.0,fmc monroeville (whetstone)
FMC DADEVILLE,AL,36853,01Jan2021-31Dec2024,16.0,fmc dadeville
DaVita Rainbow City Dialysis,AL,35906,01Jan2021-31Dec2024,21.2,davita rainbow city dialysis
DaVita Demopolis Dialysis,AL,36732,01Jan2021-31Dec2024,30.3,davita demopolis dialysis
DaVita Ozark Dialysis,AL,36360,01Jan2021-31Dec2024,30.2,davita ozark dialysis
DaVita Tuscaloosa Dialysis,AL,35401,01Jan2021-31Dec2024,23.8,davita tuscaloosa dialysis
FMC TUSKEGEE,AL,36083,01Jan2021-31Dec2024,22.1,fmc tuskegee
FMC EASTERN SHORE,AL,36532,01Jan2021-31Dec2024,23.0,fmc eastern shore
DaVita Fayette Dialysis,AL,35555,01Jan2021-31Dec2024,30.0,davita fayette dialysis
DaVita Greene County Dialysis,AL,35462,01Jan2021-31Dec2024,19.6,davita greene county dialysis
DaVita Sheffield Dialysis,AL,35660,01Jan2021-31Dec2024,28.3,davita sheffield dialysis
FMC Azalea City,AL,36604,01Jan2021-31Dec2024,17.0,fmc azalea city
DaVita PDI-Elmore County,AL,36092,01Jan2021-31Dec2024,28.2,davita pdi-elmore county
FMC Pell City,AL,35125,01Jan2021-31Dec2024,30.2,fmc pell city
DCI DECATUR,AL,35601,01Jan2021-31Dec2024,31.1,dci decatur
FMC UNIVERSITY SOUTH ALABAMA,AL,36688,01Jan2021-31Dec2024,25.7,fmc university south alabama
FKC Arab,AL,35016,01Jan2021-31Dec2024,27.6,fkc arab
DCI PELL CITY,AL,35125,01Jan2021-31Dec2024,23.9,dci pell city
DCI CULLMAN,AL,35055,01Jan2021-31Dec2024,16.9,dci cullman
FMC SYLACAUGA,AL,35150,01Jan2021-31Dec2024,28.7,fmc sylacauga
FMC PARKWAY,AL,35801,01Jan2021-31Dec2024,20.7,fmc parkway
DaVita Northport Dialysis,AL,35476,01Jan2021-31Dec2024,26.0,davita northport dialysis
FMC CAMELLIA,AL,36037,01Jan2021-31Dec2024,24.6,fmc camellia
DCI BIRMINGHAM,AL,35206,01Jan2021-31Dec2024,27.1,dci birmingham
RCG WALKER,AL,35504,01Jan2021-31Dec2024,20.1,rcg walker
DCI MONTGOMERY,AL,36104,01Jan2021-31Dec2024,26.1,dci montgomery
FMC DAUPHIN ISLAND PKWY,AL,36605,01Jan2021-31Dec2024,22.7,fmc dauphin island pkwy
FMC THOMASVILLE,AL,36784,01Jan2021-31Dec2024,23.2,fmc thomasville
FMC WILCOX,AL,36726,01Jan2021-31Dec2024,23.8,fmc wilcox
DaVita Ensley Dialysis,AL,35218,01Jan2021-31Dec2024,21.9,davita ensley dialysis
DaVita Sylacauga Dialysis,AL,35150,01Jan2021-31Dec2024,28.8,davita sylacauga dialysis
DaVita Birmingham North Dialysis,AL,35207,01Jan2021-31Dec2024,22.9,davita birmingham north dialysis
DCI MOULTON,AL,35650,01Jan2021-31Dec2024,17.8,dci moulton
FKC Shelby,AL,35007,01Jan2021-31Dec2024,18.7,fkc shelby
DaVita Birmingham Central Dialysis,AL,35233,01Jan2021-31Dec2024,29.9,davita birmingham central dialysis
FMC ODYSSEY DIALYSIS,AL,35758,01Jan2021-31Dec2024,23.2,fmc odyssey dialysis
DaVita Boaz Dialysis,AL,35957,01Jan2021-31Dec2024,17.1,davita boaz dialysis
RCG FORT PAYNE,AL,35968,01Jan2021-31Dec2024,27.9,rcg fort payne
FKC MONTGOMERY,AL,36111,01Jan2021-31Dec2024,22.8,fkc montgomery
FMC BAY MINETTE,AL,36507,01Jan2021-31Dec2024,19.6,fmc bay minette
DCI PHENIX CITY,AL,36867,01Jan2021-31Dec2024,19.8,dci phenix city
FMC PORT CITY,AL,36602,01Jan2021-31Dec2024,23.9,fmc port city
DaVita Atmore Dialysis Center,AL,36502,01Jan2021-31Dec2024,35.1,davita atmore dialysis center
DaVita Russellville Dialysis,AL,35653,01Jan2021-31Dec2024,21.2,davita russellville dialysis
FMC FAIRFIELD (STEEL CITY),AL,35064,01Jan2021-31Dec2024,28.4,fmc fairfield (steel city)
RCG CLANTON,AL,35045,01Jan2021-31Dec2024,27.2,rcg clanton
FMC CHASE,AL,35810,01Jan2021-31Dec2024,22.5,fmc chase
ROANOKE DIALYSIS CLINIC,AL,36274,01Jan2021-31Dec2024,27.6,roanoke dialysis clinic
RCG ONEONTA,AL,35121,01Jan2021-31Dec2024,28.6,rcg oneonta
DaVita Eufaula Dialysis,AL,36027,01Jan2021-31Dec2024,29.2,davita eufaula dialysis
FMC MAGNOLIA,AL,36575,01Jan2021-31Dec2024,21.2,fmc magnolia
FMC DALLAS COUNTY,AL,36701,01Jan2021-31Dec2024,31.8,fmc dallas county
FMC GARDENDALE,AL,35071,01Jan2021-31Dec2024,30.8,fmc gardendale
FMC DISCOVERY,AL,35801,01Jan2021-31Dec2024,24.0,fmc discovery
FMC VALLEY CREEK,AL,36701,01Jan2021-31Dec2024,24.9,fmc valley creek
FMC AUBURN,AL,36832,01Jan2021-31Dec2024,14.8,fmc auburn
LANDMARK DIALYSIS,AL,35160,01Jan2021-31Dec2024,24.7,landmark dialysis
FMC ALEXANDER CITY,AL,35010,01Jan2021-31Dec2024,22.7,fmc alexander city
RRC NORTHRIDGE,AL,35473,01Jan2021-31Dec2024,26.9,rrc northridge
DaVita Northriver Home Dialysis (PD),AL,35406,01Jan2021-31Dec2024,31.4,davita northriver home dialysis (pd)
North Alabama Home Dialysis,AL,35601,01Jan2021-31Dec2024,25.4,north alabama home dialysis
RAI-SNOW ST-OXFORD,AL,36203,01Jan2021-31Dec2024,20.3,rai-snow st-oxford
DaVita Talladega Dialysis,AL,35160,01Jan2021-31Dec2024,37.8,davita talladega dialysis
DaVita Center Point Dialysis,AL,35215,01Jan2021-31Dec2024,30.3,davita center point dialysis
FMC MIDFIELD DIALYSIS,AL,35228,01Jan2021-31Dec2024,28.7,fmc midfield dialysis
RAI JACKSONVILLE,AL,36265,01Jan2021-31Dec2024,22.2,rai jacksonville
FMC NORTHWEST ALABAMA KIDNEY CENTER,AL,35594,01Jan2021-31Dec2024,16.9,fmc northwest alabama kidney center
DaVita Opelika Dialysis Center,AL,36801,01Jan2021-31Dec2024,17.2,davita opelika dialysis center
DaVita Renaissance Dialysis,AL,35630,01Jan2021-31Dec2024,25.6,davita renaissance dialysis
DaVita Wiregrass Kidney Center,AL,36301,01Jan2021-31Dec2024,24.6,davita wiregrass kidney center
DaVita Gulf Shores Dialysis Center,AL,36542,01Jan2021-31Dec2024,26.5,davita gulf shores dialysis center
DaVita Muscle Shoals Dialysis,AL,35661,01Jan2021-31Dec2024,16.2,davita muscle shoals dialysis
FMC PRATTVILLE,AL,36066,01Jan2021-31Dec2024,22.5,fmc prattville
FRESENIUS KIDNEY CARE FOLEY,AL,36535,01Jan2021-31Dec2024,26.7,fresenius kidney care foley
FMC JAGUAR,AL,36617,01Jan2021-31Dec2024,21.1,fmc jaguar
FMC HOOVER,AL,35216,01Jan2021-31Dec2024,28.0,fmc hoover
FMC MONTEVALLO,AL,35115,01Jan2021-31Dec2024,19.5,fmc montevallo
DaVita Pickens County Dialysis,AL,35447,01Jan2021-31Dec2024,28.3,davita pickens county dialysis
DCI EVERGREEN,AL,36401,01Jan2021-31Dec2024,16.4,dci evergreen
DaVita Enterprise Dialysis,AL,36330,01Jan2021-31Dec2024,27.7,davita enterprise dialysis
ENDEAVOR DIALYSIS,AL,35816,01Jan2021-31Dec2024,19.4,endeavor dialysis
DaVita Jewel Dialysis,AL,35020,01Jan2021-31Dec2024,18.8,davita jewel dialysis
DaVita Magic City Dialysis,AL,35233,01Jan2021-31Dec2024,23.6,davita magic city dialysis
DaVita Steel City Dialysis,AL,35218,01Jan2021-31Dec2024,12.7,davita steel city dialysis
DaVita Crown Dialysis,AL,35207,01Jan2021-31Dec2024,23.2,davita crown dialysis
FKC Gadsden,AL,35903,01Jan2021-31Dec2024,23.0,fkc gadsden
FKC Union Springs,AL,36089,01Jan2021-31Dec2024,24.7,fkc union springs
DaVita Limestone County Dialysis,AL,35611,01Jan2021-31Dec2024,24.6,davita limestone county dialysis
FMC FORESTDALE,AL,35214,01Jan2021-31Dec2024,25.2,fmc forestdale
DaVita Leeds Dialysis,AL,35094,01Jan2021-31Dec2024,24.4,davita leeds dialysis
FRESENIUS KIDNEY CARE PHENIX CITY,AL,36867,01Jan2021-31Dec2024,25.3,fresenius kidney care phenix city
FMC OF TAYLOR ROAD,AL,36117,01Jan2021-31Dec2024,24.2,fmc of taylor road
DCI MITYLENE PARK,AL,36117,01Jan2021-31Dec2024,13.4,dci mitylene park
FMC BIRMINGHAM HOME,AL,35209,01Jan2021-31Dec2024,25.8,fmc birmingham home
FMC OF EAST JEFFERSON,AL,35215,01Jan2021-31Dec2024,32.0,fmc of east jefferson
FKC Attalla,AL,35954,01Jan2021-31Dec2024,30.6,fkc attalla
FMC MONTGOMERY HOME SERVICES,AL,36117,01Jan2021-31Dec2024,21.8,fmc montgomery home services
DaVita Perry County Dialysis,AL,36756,01Jan2021-31Dec2024,20.7,davita perry county dialysis
FMC SOUTH MOBILE,AL,36541,01Jan2021-31Dec2024,20.8,fmc south mobile
DaVita Brewton Dialysis,AL,36426,01Jan2021-31Dec2024,16.9,davita brewton dialysis
DaVita Anniston Dialysis,AL,36201,01Jan2021-31Dec2024,39.4,davita anniston dialysis
FMC HOME THERAPY SERVICES OF BALDWIN,AL,36532,01Jan2021-31Dec2024,20.9,fmc home therapy services of baldwin
DaVita Monarch Dialysis,AL,36116,01Jan2021-31Dec2024,25.0,davita monarch dialysis
DaVita Red Mountain HT at Home,AL,35233,01Jan2021-31Dec2024,27.7,davita red mountain ht at home
FMC Huntsville Home,AL,35801,01Jan2021-31Dec2024,29.0,fmc huntsville home
FMC West Madison,AL,35756,01Jan2021-31Dec2024,21.2,fmc west madison
DaVita Home Options of Dothan (PD),AL,36301,01Jan2021-31Dec2024,37.5,davita home options of dothan (pd)
DaVita Greystone Dialysis,AL,35242,01Jan2021-31Dec2024,16.2,davita greystone dialysis
FMC McCalla,AL,35022,01Jan2021-31Dec2024,15.2,fmc mccalla
DaVita White Bluff Dialysis,AL,36732,01Jan2021-31Dec2024,28.5,davita white bluff dialysis
FMC TALLASSEE,AL,36078,01Jan2021-31Dec2024,27.1,fmc tallassee
FMC Tranquility,AL,35759,01Jan2021-31Dec2024,23.0,fmc tranquility
FMC Albertville,AL,35951,01Jan2021-31Dec2024,24.7,fmc albertville
DaVita Model City HT at Home Dialysis,AL,36207,01Jan2021-31Dec2024,36.1,davita model city ht at home dialysis
FMC Anniston Home Therapy,AL,36201,01Jan2021-31Dec2024,29.7,fmc anniston home therapy
FMC BIRMINGHAM METRO,AL,35233,01Jan2021-31Dec2024,25.0,fmc birmingham metro
FMC TRUSSVILLE,AL,35235,01Jan2021-31Dec2024,14.6,fmc trussville
FRESENIUS MEDICAL CARE DECATUR,AL,35603,01Jan2021-31Dec2024,23.8,fresenius medical care decatur
DaVita Springs Dialysis,AL,35173,01Jan2021-31Dec2024,33.5,davita springs dialysis
FMC ROCKET CITY,AL,35802,01Jan2021-31Dec2024,20.4,fmc rocket city
FRESENIUS KIDNEY CARE SARALAND,AL,36571,01Jan2021-31Dec2024,26.6,fresenius kidney care saraland
DaVita Barbour County Dialysis,AL,36027,01Jan2021-31Dec2024,26.6,davita barbour county dialysis
"Dialysis Services of Decatur, LLC",AL,35603,01Jan2021-31Dec2024,19.4,"dialysis services of decatur, llc"
DaVita Crimson Dialysis,AL,35405,01Jan2021-31Dec2024,26.4,davita crimson dialysis
DaVita Majestic Dialysis,AL,36117,01Jan2021-31Dec2024,29.8,davita majestic dialysis
Cherokee Community Dialysis,AL,35960,01Jan2021-31Dec2024,18.0,cherokee community dialysis
DCI South Cullman,AL,35055,01Jan2021-31Dec2024,12.6,dci south cullman
PRATTVILLE COMMUNITY DIALYSIS,AL,36066,01Jan2021-31Dec2024,16.4,prattville community dialysis
FKC Oak Mountain,AL,35242,01Jan2021-31Dec2024,15.7,fkc oak mountain
Sapphire Community Dialysis,AL,36117,01Jan2021-31Dec2024,28.7,sapphire community dialysis
FKC Cullman,AL,35058,01Jan2021-31Dec2024,30.2,fkc cullman
PCD Montgomery Community,AL,36116,01Jan2021-31Dec2024,24.5,pcd montgomery community
FKC Hope Hull,AL,36043,01Jan2021-31Dec2024,26.4,fkc hope hull
FKC USA Midtown,AL,36607,01Jan2021-31Dec2024,22.6,fkc usa midtown
FKC Florence,AL,35630,01Jan2021-31Dec2024,18.1,fkc florence
FKC Central Mobile,AL,36609,01Jan2021-31Dec2024,10.4,fkc central mobile
DaVita Imperial Home Dialysis,AL,35242,01Jan2021-31Dec2024,41.0,davita imperial home dialysis
FKC Foothills Dialysis,AL,35401,01Jan2021-31Dec2024,32.5,fkc foothills dialysis
FMC Mobile Transitional Care and Home,AL,36606,01Jan2021-31Dec2024,29.4,fmc mobile transitional care and home
USRC LAUREL STREET,AK,99508,01Jan2021-31Dec2024,23.2,usrc laurel street
FRESENIUS MEDICAL CARE FAIRBANKS,AK,99701,01Jan2021-31Dec2024,24.9,fresenius medical care fairbanks
RENAL CARE GROUP WASILLA,AK,99654,01Jan2021-31Dec2024,20.3,renal care group wasilla
REIFENSTEIN DIALYSIS CENTER,AK,99801,01Jan2021-31Dec2024,24.3,reifenstein dialysis center
USRC DIMOND,AK,99515,01Jan2021-31Dec2024,15.4,usrc dimond
FRESENIUS MEDICAL CARE SOLDOTNA,AK,99669,01Jan2021-31Dec2024,20.1,fresenius medical care soldotna
USRC DENALI DIALYSIS,AK,99504,01Jan2021-31Dec2024,16.6,usrc denali dialysis
Valleywise Comprehensive Health Cente,AZ,85008,01Jan2021-31Dec2024,8.3,valleywise comprehensive health cente
032315 GILA RIVER DIALYSIS EAST,AZ,85147,01Jan2021-31Dec2024,18.0,032315 gila river dialysis east
DaVita Tucson West Dialysis,AZ,85745,01Jan2021-31Dec2024,24.2,davita tucson west dialysis
DaVita Tucson East Dialysis,AZ,85710,01Jan2021-31Dec2024,24.4,davita tucson east dialysis
DaVita Yuma Dialysis,AZ,85364,01Jan2021-31Dec2024,24.5,davita yuma dialysis
032503 PHOENIX ARTIFICIAL KIDNEY CENT,AZ,85381,01Jan2021-31Dec2024,23.7,032503 phoenix artificial kidney cent
DaVita Tuba City Dialysis,AZ,86045,01Jan2021-31Dec2024,13.9,davita tuba city dialysis
032508 SOUTH PHOENIX DIALYSIS SERVICE,AZ,85007,01Jan2021-31Dec2024,20.4,032508 south phoenix dialysis service
032509 EAST VALLEY DIALYSIS (FMC),AZ,85206,01Jan2021-31Dec2024,27.1,032509 east valley dialysis (fmc)
DaVita Sells Dialysis,AZ,85634,01Jan2021-31Dec2024,19.9,davita sells dialysis
032514 DESERT DIALYSIS CENTER (DCI),AZ,85719,01Jan2021-31Dec2024,17.3,032514 desert dialysis center (dci)
032516 CHANDLER DIALYSIS (FMC),AZ,85225,01Jan2021-31Dec2024,25.6,032516 chandler dialysis (fmc)
032517 CENTRAL PHX DIALYSIS (FMC),AZ,85013,01Jan2021-31Dec2024,24.5,032517 central phx dialysis (fmc)
DaVita Chinle Dialysis,AZ,86503,01Jan2021-31Dec2024,16.6,davita chinle dialysis
DaVita Sierra Vista Dialysis,AZ,85635,01Jan2021-31Dec2024,26.5,davita sierra vista dialysis
032521 DIALYSIS CENTER OF GLENDALE (F,AZ,85301,01Jan2021-31Dec2024,18.3,032521 dialysis center of glendale (f
032522 PARKER DIALYSIS CENTER (FMC),AZ,85344,01Jan2021-31Dec2024,30.1,032522 parker dialysis center (fmc)
DaVita Prescott Dialysis,AZ,86301,01Jan2021-31Dec2024,18.5,davita prescott dialysis
032524 FLAGSTAFF DIALYSIS CENTER (FMC,AZ,86004,01Jan2021-31Dec2024,16.2,032524 flagstaff dialysis center (fmc
DaVita Desert Mountain Dialysis Cente,AZ,85258,01Jan2021-31Dec2024,19.5,davita desert mountain dialysis cente
USRC SOUTHWEST MESA,AZ,85202,01Jan2021-31Dec2024,28.6,usrc southwest mesa
032528 THUNDERBIRD DIALYSIS (FMC),AZ,85306,01Jan2021-31Dec2024,23.4,032528 thunderbird dialysis (fmc)
032530 DESERT VALLEY DIALYSIS (FMC),AZ,85032,01Jan2021-31Dec2024,19.4,032530 desert valley dialysis (fmc)
032533 GLOBE DIALYSIS (FMC),AZ,85539,01Jan2021-31Dec2024,26.2,032533 globe dialysis (fmc)
032536 WINSLOW DIALYSIS CENTER (FMC),AZ,86047,01Jan2021-31Dec2024,18.8,032536 winslow dialysis center (fmc)
032537 ESTRELLA DIALYSIS CENTER (FMC),AZ,85043,01Jan2021-31Dec2024,26.1,032537 estrella dialysis center (fmc)
032539 MESA DIALYSIS CENTER (FMC),AZ,85234,01Jan2021-31Dec2024,30.1,032539 mesa dialysis center (fmc)
032540 FRESENIUS KIDNEY CARE WESTERN,AZ,85122,01Jan2021-31Dec2024,25.0,032540 fresenius kidney care western
032541 TEMPE DIALYSIS (FMC),AZ,85282,01Jan2021-31Dec2024,25.4,032541 tempe dialysis (fmc)
032542 ARCADIA DIALYSIS CENTER (FMC),AZ,85016,01Jan2021-31Dec2024,22.1,032542 arcadia dialysis center (fmc)
DaVita Nogales Dialysis,AZ,85621,01Jan2021-31Dec2024,25.5,davita nogales dialysis
032544 LAKE HAVASU DIALYSIS (FMC),AZ,86403,01Jan2021-31Dec2024,24.2,032544 lake havasu dialysis (fmc)
032545 SOUTH MOUNTAIN DIALYSIS CENTER,AZ,85042,01Jan2021-31Dec2024,26.7,032545 south mountain dialysis center
032546 SUN CITY WEST DIALYSIS (FMC),AZ,85374,01Jan2021-31Dec2024,22.4,032546 sun city west dialysis (fmc)
032549 SAFFORD DIALYSIS (FMC),AZ,85546,01Jan2021-31Dec2024,26.5,032549 safford dialysis (fmc)
032550 NORTH PHOENIX DIALYSIS (FMC),AZ,85021,01Jan2021-31Dec2024,25.3,032550 north phoenix dialysis (fmc)
USRC MESA,AZ,85204,01Jan2021-31Dec2024,27.6,usrc mesa
DaVita Papago Dialysis Center,AZ,85018,01Jan2021-31Dec2024,24.1,davita papago dialysis center
DaVita South Yuma Dialysis,AZ,85365,01Jan2021-31Dec2024,27.0,davita south yuma dialysis
032558 BULLHEAD CITY DIALYSIS (FMC),AZ,86442,01Jan2021-31Dec2024,26.1,032558 bullhead city dialysis (fmc)
DaVita Kayenta Dialysis,AZ,86033,01Jan2021-31Dec2024,13.6,davita kayenta dialysis
032561 CASA GRANDE DIALYSIS (FMC),AZ,85122,01Jan2021-31Dec2024,27.1,032561 casa grande dialysis (fmc)
DaVita Cottonwood Dialysis,AZ,86326,01Jan2021-31Dec2024,24.1,davita cottonwood dialysis
032564 MARYVALE DIALYSIS (FMC),AZ,85031,01Jan2021-31Dec2024,24.0,032564 maryvale dialysis (fmc)
032565 DESERT DIALYSIS CENTER SOUTH T,AZ,85719,01Jan2021-31Dec2024,23.6,032565 desert dialysis center south t
032568 RED MOUNTAIN DIALYSIS (FMC),AZ,85201,01Jan2021-31Dec2024,26.1,032568 red mountain dialysis (fmc)
032571 NORTH SCOTTSDALE DIALYSIS (FMC,AZ,85260,01Jan2021-31Dec2024,18.1,032571 north scottsdale dialysis (fmc
DaVita Desert Dialysis,AZ,85351,01Jan2021-31Dec2024,23.7,davita desert dialysis
DaVita Pascua Yaqui Tribe Dialysis,AZ,85757,01Jan2021-31Dec2024,18.6,davita pascua yaqui tribe dialysis
032575 SHOW LOW DIALYSIS (FMC),AZ,85901,01Jan2021-31Dec2024,19.1,032575 show low dialysis (fmc)
032578 APACHE JUNCTION DIALYSIS (FMC),AZ,85120,01Jan2021-31Dec2024,24.0,032578 apache junction dialysis (fmc)
032579 SUN LAKES DIALYSIS (FMC),AZ,85248,01Jan2021-31Dec2024,20.1,032579 sun lakes dialysis (fmc)
032580 PALM VALLEY DIALYSIS (FMC),AZ,85338,01Jan2021-31Dec2024,29.1,032580 palm valley dialysis (fmc)
USRC SOUTH PHOENIX,AZ,85040,01Jan2021-31Dec2024,18.6,usrc south phoenix
032587 DEER VALLEY DIALYSIS (FMC),AZ,85027,01Jan2021-31Dec2024,19.8,032587 deer valley dialysis (fmc)
DaVita Tucson South Central Dialysis,AZ,85714,01Jan2021-31Dec2024,19.1,davita tucson south central dialysis
DaVita Hopi Dialysis Center,AZ,86042,01Jan2021-31Dec2024,13.9,davita hopi dialysis center
032593 GRANITE VALLEY DIALYSIS (FMC),AZ,85375,01Jan2021-31Dec2024,27.5,032593 granite valley dialysis (fmc)
032594 SALT RIVER DIALYSIS CENTER (FM,AZ,85256,01Jan2021-31Dec2024,16.0,032594 salt river dialysis center (fm
USRC NORTHEAST PHOENIX,AZ,85032,01Jan2021-31Dec2024,16.7,usrc northeast phoenix
032597 SAN CARLOS DIALYSIS (FMC),AZ,85542,01Jan2021-31Dec2024,20.0,032597 san carlos dialysis (fmc)
032599 AHWATUKEE DIALYSIS (FMC),AZ,85048,01Jan2021-31Dec2024,22.1,032599 ahwatukee dialysis (fmc)
DaVita Palm Brook Dialysis Center,AZ,85351,01Jan2021-31Dec2024,22.8,davita palm brook dialysis center
DaVita Arrowhead Lakes Dialysis Cente,AZ,85308,01Jan2021-31Dec2024,20.1,davita arrowhead lakes dialysis cente
DaVita Gilbert Dialysis Center,AZ,85234,01Jan2021-31Dec2024,20.1,davita gilbert dialysis center
032607 AVONDALE DIALYSIS (FMC),AZ,85323,01Jan2021-31Dec2024,27.4,032607 avondale dialysis (fmc)
USRC AVONDALE,AZ,85392,01Jan2021-31Dec2024,21.4,usrc avondale
DaVita Tempe Dialysis Center,AZ,85284,01Jan2021-31Dec2024,24.4,davita tempe dialysis center
032610 SOUTHEAST VALLEY DIALYSIS (FMC,AZ,85142,01Jan2021-31Dec2024,21.4,032610 southeast valley dialysis (fmc
DaVita Phoenix Dialysis Center,AZ,85004,01Jan2021-31Dec2024,23.8,davita phoenix dialysis center
DaVita Estrella Dialysis Center,AZ,85037,01Jan2021-31Dec2024,23.3,davita estrella dialysis center
032613 NORTHWEST TUCSON DIALYSIS (FMC,AZ,85741,01Jan2021-31Dec2024,25.0,032613 northwest tucson dialysis (fmc
032614 DOUGLAS DIALYSIS CENTER (DCI),AZ,85607,01Jan2021-31Dec2024,37.5,032614 douglas dialysis center (dci)
032616 DESERT DIALYSIS SAHUARITA (DCI,AZ,85629,01Jan2021-31Dec2024,24.8,032616 desert dialysis sahuarita (dci
032617 TUCSON WEST DIALYSIS CENTER (F,AZ,85705,01Jan2021-31Dec2024,19.6,032617 tucson west dialysis center (f
DaVita Northwest Tucson Dialysis,AZ,85741,01Jan2021-31Dec2024,22.3,davita northwest tucson dialysis
DaVita Mountain Vista Dialysis Center,AZ,85209,01Jan2021-31Dec2024,25.5,davita mountain vista dialysis center
DaVita Grand Home Dialysis,AZ,85374,01Jan2021-31Dec2024,25.0,davita grand home dialysis
032622 GOODYEAR DIALYSIS (FMC),AZ,85338,01Jan2021-31Dec2024,29.5,032622 goodyear dialysis (fmc)
DaVita Central Mesa Dialysis Center,AZ,85203,01Jan2021-31Dec2024,19.7,davita central mesa dialysis center
DaVita Raven Dialysis Center,AZ,85042,01Jan2021-31Dec2024,24.2,davita raven dialysis center
032626 MIDVALE PARK DIALYSIS (FMC),AZ,85746,01Jan2021-31Dec2024,19.3,032626 midvale park dialysis (fmc)
DaVita Tucson Central Dialysis,AZ,85716,01Jan2021-31Dec2024,21.1,davita tucson central dialysis
032628 KINGMAN DIALYSIS CLINIC (FMC),AZ,86409,01Jan2021-31Dec2024,29.1,032628 kingman dialysis clinic (fmc)
032629 SOUTH TUCSON DIALYSIS (FMC),AZ,85713,01Jan2021-31Dec2024,23.5,032629 south tucson dialysis (fmc)
DaVita Brookwood Dialysis Center,AZ,85302,01Jan2021-31Dec2024,23.6,davita brookwood dialysis center
DaVita Ocotillo Dialysis,AZ,85248,01Jan2021-31Dec2024,23.5,davita ocotillo dialysis
DaVita Rita Ranch Dialysis (AKA Tucso,AZ,85747,01Jan2021-31Dec2024,19.8,davita rita ranch dialysis (aka tucso
032633 SANTAN DIALYSIS (FMC),AZ,85132,01Jan2021-31Dec2024,26.4,032633 santan dialysis (fmc)
DaVita Maryvale Dialysis Center,AZ,85035,01Jan2021-31Dec2024,20.6,davita maryvale dialysis center
032635 GILBERT DIALYSIS (FMC),AZ,85297,01Jan2021-31Dec2024,16.8,032635 gilbert dialysis (fmc)
USRC FLAGSTAFF,AZ,86004,01Jan2021-31Dec2024,18.1,usrc flagstaff
